=========  =========  ====================  ====================  =======================  ====================  ======================  =======================
  Grid Az    Grid El    Forward dAz (asec)    Reverse dAz (asec)    Forward - Reverse dAz    Forward dEl (asec)    Reverse dEl (arcsec)    Forward - Reverse dEl
=========  =========  ====================  ====================  =======================  ====================  ======================  =======================
     -250         20            -0.0189194              -4.82368                 4.80476              102.894                134.867                  -31.9731
     -250         45            -1.35501                -0.50658                -0.848426              34.6084                54.5793                 -19.9709
     -250         70             0.628303                5.06652                -4.43822                8.28496               17.8468                  -9.56184
     -250         85            23.9794                 15.3269                  8.65246               -4.73183               -3.41153                 -1.3203
     -170         85           -88.1287                -70.1129                -18.0158                -6.89036               -0.759874                -6.13049
     -180         70           -29.32                  -22.9434                 -6.37657                7.0884                18.0266                 -10.9382
     -180         45           -21.5671                -14.5837                 -6.9834                34.0803                50.9199                 -16.8395
     -180         20           -21.6655                -16.7684                 -4.89705              111.852                130.133                  -18.2809
      -90         20           -18.5909                 -2.8314                -15.7595               110.822                127.881                  -17.0592
      -90         45           -22.4681                 -7.16842               -15.2997                35.3723                52.8066                 -17.4342
      -90         70           -34.996                 -19.2075                -15.7885                14.7963                25.1174                 -10.3212
      -90         85          -110.429                 -77.7581                -32.6714                 3.2251                 8.80067                 -5.57557
      -10         85           -60.3535                -34.887                 -25.4665                 6.86804                7.37558                 -0.507538
       -0         70            -7.19576                -3.56525                -3.63051               17.6458                24.4624                  -6.81657
       -0         45             0.259528                3.38514                -3.12561               37.2918                54.0233                 -16.7316
       -0         20             5.66431                 8.53693                -2.87262              106.338                129.176                  -22.8375
       90         20             5.70529                 -                       -                    108.699                  -                        -
       90         45             2.89164                -1.0293                  3.92094               36.0864                50.9931                 -14.9067
       90         70            -1.12927                -7.06703                 5.93776                9.36289               16.0837                  -6.72077
       90         85            -9.49687               -39.7513                 30.2544                -4.71429               -7.29388                  2.57959
      190         85          -150.083                -137.416                 -12.6678                -2.94844               -1.65715                 -1.29129
      180         70           -38.8841                -48.8602                  9.97609               10.2122                16.3063                  -6.09418
      180         45           -23.3336                  -                       -                     37.7173                 -                        -
      180         20           -23.2895                  -                       -                    115.958                  -                        -
      250         20             -                       -                       -                      -                      -                        -
      250         45             -                       -                       -                      -                      -                        -
      250         70           -35.5759                -38.4514                  2.87548               17.0714                22.354                   -5.28254
      250         85          -118.303                -106.118                 -12.1848                 4.25314                8.69946                 -4.44632
=========  =========  ====================  ====================  =======================  ====================  ======================  =======================
